Unique Sort ID (800-53r5),SP 800-53 Rev 5 Control & Control Enhancement,Tailoring Decision,Unique Sort ID (IPD 800-171r3),SP 800-171 Rev 3 Security Requirement,Additional Tailoring ,
SA-05-00-04,3. Known vulnerabilities regarding configuration and use of administrative or privileged functions;,NFO, ,—,,
SA-05-00-05,"b. Obtain or develop user documentation for the system, system component, or system service that describes ",NFO, ,—,,
SA-05-00-06,1. User-accessible security and privacy functions and mechanisms and how to effectively use those functions and mechanisms;,NFO, ,—,,
SA-05-00-07,"2. Methods for user interaction, which enables individuals to use the system, component, or service in a more secure manner and protect individual privacy; and",NFO, ,—,,
SA-05-00-08,"3. User responsibilities in maintaining the security of the system, component, or service and privacy of individuals;",NFO, ,—,,
SA-05-00-09,"c. Document attempts to obtain system, system component, or system service documentation when such documentation is either unavailable or nonexistent and take [Assignment: organization-defined actions] in response; and",NFO, ,—,,
SA-05-00-10,d. Distribute documentation to [Assignment: organization-defined personnel or roles].,NFO, ,—,,
SA-08-00-00,SA-8  Security and Privacy Engineering Principles,CUI,03-16-01:,3.16.1  Security Engineering Principles,,
SA-08-00-01,"Apply the following systems security and privacy engineering principles in the specification, design, development, implementation, and modification of the system and system components  [Assignment: organization-defined systems security and privacy engineering principles].",CUI,03-16-01.,"3.16.1. Apply systems security engineering principles in the specification, design, development, implementation, and modification of the system and system components.","Removed ODP to assign ""systems security and privacy engineering principles""",
SA-09-00-00,SA-9  External System Services,CUI,03-16-03:,3.16.3  External System Services,,
SA-09-00-01,a. Require that providers of external system services comply with organizational security and privacy requirements and employ the following controls  [Assignment: organization-defined controls];,CUI,03-16-03a.,"3.16.3a. Require the providers of external system services to comply with organizational security requirements, and implement the following controls  [Assignment: organization-defined controls].",,
SA-09-00-02,b. Define and document organizational oversight and user roles and responsibilities with regard to external system services; and,CUI,03-16-03b.,3.16.3b. Define and document organizational oversight and user roles and responsibilities with regard to external system services.,,
SA-09-00-03,"c. Employ the following processes, methods, and techniques to monitor control compliance by external service providers on an ongoing basis  [Assignment: organization-defined processes, methods, and techniques].",CUI,03-16-03c.,"3.16.3c. Implement the following processes, methods, and techniques to monitor control compliance by external service providers on an ongoing basis  [Assignment: organization-defined processes, methods, and techniques].",,
SA-09-02-00,"SA-9(2)  External System Services | Identification of Functions, Ports, Protocols, and Services",NCO, ,—,,
SA-09-02-01,"Require providers of the following external system services to identify the functions, ports, protocols, and other services required for the use of such services  [Assignment: organization-defined external system services].",NCO, ,—,,
SA-10-00-00,SA-10  Developer Configuration Management,NFO, ,—,,
SA-10-00-01,"Require the developer of the system, system component, or system service to ",NFO, ,—,,
SA-10-00-02,"a. Perform configuration management during system, component, or service [Selection (one or more): design; development; implementation; operation; disposal];",NFO, ,—,,
SA-10-00-03,"b. Document, manage, and control the integrity of changes to [Assignment: organization-defined configuration items under configuration management];",NFO, ,—,,
SA-10-00-04,"c. Implement only organization-approved changes to the system, component, or service;",NFO, ,—,,
SA-10-00-05,"d. Document approved changes to the system, component, or service and the potential security and privacy impacts of such changes; and",NFO, ,—,,
SA-10-00-06,"e. Track security flaws and flaw resolution within the system, component, or service and report findings to [Assignment: organization-defined personnel].",NFO, ,—,,
SA-11-00-00,SA-11  Developer Testing and Evaluation,NFO, ,—,,
SA-11-00-01,"Require the developer of the system, system component, or system service, at all post-design stages of the system development life cycle, to ",NFO, ,—,,
SA-11-00-02,a. Develop and implement a plan for ongoing security and privacy assessments;,NFO, ,—,,
SA-11-00-03,b. Perform [Selection (one or more): unit; integration; system; regression] testing/evaluation [Assignment: organization-defined frequency] at [Assignment: organization-defined depth and coverage];,NFO, ,—,,
SA-11-00-04,c. Produce evidence of the execution of the assessment plan and the results of the testing and evaluation;,NFO, ,—,,
SA-11-00-05,d. Implement a verifiable flaw remediation process; and,NFO, ,—,,
SA-11-00-06,e. Correct flaws identified during testing and evaluation.,NFO, ,—,,
SA-15-00-00,"SA-15  Development Process, Standards, and Tools",NFO, ,—,,
SA-15-00-01,"a. Require the developer of the system, system component, or system service to follow a documented development process that ",NFO, ,—,,
SA-15-00-02,1. Explicitly addresses security and privacy requirements;,NFO, ,—,,
SA-15-00-03,2. Identifies the standards and tools used in the development process;,NFO, ,—,,
SA-15-00-04,3. Documents the specific tool options and tool configurations used in the development process; and,NFO, ,—,,
SA-15-00-05,"4. Documents, manages, and ensures the integrity of changes to the process and/or tools used in development; and",NFO, ,—,,
SA-15-00-06,"b. Review the development process, standards, tools, tool options, and tool configurations [Assignment: organization-defined frequency] to determine if the process, standards, tools, tool options and tool configurations selected and employed can satisfy the following security and privacy requirements  [Assignment: organization-defined security and privacy requirements].",NFO, ,—,,
SA-15-03-00,"SA-15(3)  Development Process, Standards, and Tools | Criticality Analysis",NFO, ,—,,
SA-15-03-01,"Require the developer of the system, system component, or system service to perform a criticality analysis ",NFO, ,—,,
SA-15-03-02,(a) At the following decision points in the system development life cycle  [Assignment: organization-defined decision points in the system development life cycle]; and,NFO, ,—,,
SA-15-03-03,(b) At the following level of rigor  [Assignment: organization-defined breadth and depth of criticality analysis].,NFO, ,—,,
SA-22-00-00,SA-22  Unsupported System Components,CUI,03-16-02:,3.16.2  Unsupported System Components,,
SA-22-00-01,"a. Replace system components when support for the components is no longer available from the developer, vendor, or manufacturer; or",CUI,03-16-02a.,"3.16.2a. Replace system components when support for the components is no longer available from the developer, vendor, or manufacturer; or",,
SA-22-00-02,b. Provide the following options for alternative sources for continued support for unsupported components [Selection (one or more): in-house support; [Assignment: organization-defined support from external providers]].,CUI,03-16-02b.,3.16.2b. Provide options for alternative sources for continued support for unsupported components.,"Removed ODP to select one or more ""in-house support; [Assignment: organization-defined support from external providers]""",
SC-01-00-00,SC-1  Policy and Procedures,CUI,03-15-01:,3.15.1  Policy and Procedures,,
SC-01-00-01,"a. Develop, document, and disseminate to [Assignment: organization-defined personnel or roles]:",CUI,03-15-01a.,"3.15.1a. Develop, document, and disseminate to organizational personnel or roles, policies and procedures needed to implement security requirements.","Addresses all policy (instead of only system and communications protection policy)
Removed ODP to assign ""personnel or roles""",
SC-01-00-02,1. [Selection (one or more): organization-level; mission/business process-level; system-level] system and communications protection policy that:,CUI,03-15-01a.,"3.15.1a. Develop, document, and disseminate to organizational personnel or roles, policies and procedures needed to implement security requirements.","Removed ODP to select one or more ""organization-level; mission/business process-level; system level""",
SC-01-00-03,"(a) Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and",NCO, ,—,,
SC-01-00-04,"(b) Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and",NCO, ,—,,
SC-01-00-05,2. Procedures to facilitate the implementation of the system and communications protection policy and the associated system and communications protection controls;,CUI,03-15-01a.,"3.15.1a. Develop, document, and disseminate to organizational personnel or roles, policies and procedures needed to implement security requirements.",Addresses all procedures (instead of only system and communications protection procedures),
SC-01-00-06,"b. Designate an [Assignment: organization-defined official] to manage the development, documentation, and dissemination of the system and communications protection policy and procedures; and",NCO, ,—,,
SC-01-00-07,c. Review and update the current system and communications protection:,CUI,03-15-01b.,3.15.1b. Review and update policies and procedures [Assignment: organization-defined frequency].,Addresses update of all policy and procedures (instead of only system and communications protection),
SC-01-00-08,1. Policy [Assignment: organization-defined frequency] and following [Assignment: organization-defined events]; and,CUI,03-15-01b.,3.15.1b. Review and update policies and procedures [Assignment: organization-defined frequency].,"Removed ODP to assign ""events""",
SC-01-00-09,2. Procedures [Assignment: organization-defined frequency] and following [Assignment: organization-defined events].,CUI,03-15-01b.,3.15.1b. Review and update policies and procedures [Assignment: organization-defined frequency].,"Removed ODP to assign ""events""",
SC-02-00-00,SC-2  Separation of System and User Functionality,CUI,03-13-03:,3.13.3  Separation of System and User Functionality,,
SC-02-00-01,"Separate user functionality, including user interface services, from system management functionality.",CUI,03-13-03.,3.13.3. Separate user functionality from system management functionality.,,
SC-04-00-00,SC-4  Information in Shared System Resources,CUI,03-13-04:,3.13.4  Information in Shared System Resources,,
SC-04-00-01,Prevent unauthorized and unintended information transfer via shared system resources.,CUI,03-13-04.,3.13.4 Prevent unauthorized and unintended information transfer via shared system resources.,,
SC-05-00-00,SC-5  Denial-of-service Protection,NCO, ,—,,
SC-05-00-01,a. [Selection: Protect against; Limit] the effects of the following types of denial-of-service events  [Assignment: organization-defined types of denial-of-service events]; and,NCO, ,—,,
SC-05-00-02,b. Employ the following controls to achieve the denial-of-service objective  [Assignment: organization-defined controls by type of denial-of-service event].,NCO, ,—,,
SC-07-00-00,SC-7  Boundary Protection,CUI,03-13-01:,3.13.1  Boundary Protection,,
SC-07-00-01,a. Monitor and control communications at the external managed interfaces to the system and at key internal managed interfaces within the system;,CUI,03-13-01a.,3.13.1a. Monitor and control communications at the external managed interfaces to the system and at key internal managed interfaces within the system.,,
SC-07-00-02,b. Implement subnetworks for publicly accessible system components that are [Selection: physically; logically] separated from internal organizational networks; and,CUI,03-13-01b.,3.13.1b. Implement subnetworks for publicly accessible system components that are physically or logically separated from internal networks.,"Removed ODP to select ""physically; logically""",
SC-07-00-03,c. Connect to external networks or systems only through managed interfaces consisting of boundary protection devices arranged in accordance with an organizational security and privacy architecture.,CUI,03-13-01c.,3.13.1c. Connect to external networks or systems only through managed interfaces consisting of boundary protection devices arranged in accordance with an organizational security architecture.,"Removed ""privacy architecture"" to address scope of SP 800-171",
SC-07-03-00,SC-7(3)  Boundary Protection | Access Points,CUI,03-13-18:,3.13.18  System Access Points,,
SC-07-03-01,Limit the number of external network connections to the system.,CUI,03-13-18.,3.13.18. Limit the number of external network connections to the system.,,
SC-07-04-00,SC-7(4)  Boundary Protection | External Telecommunications Services,NFO, ,—,,
SC-07-04-01,(a) Implement a managed interface for each external telecommunication service;,NFO, ,—,,
SC-07-04-02,(b) Establish a traffic flow policy for each managed interface;,NFO, ,—,,
SC-07-04-03,(c) Protect the confidentiality and integrity of the information being transmitted across each interface;,NFO, ,—,,
SC-07-04-04,(d) Document each exception to the traffic flow policy with a supporting mission or business need and duration of that need;,NFO, ,—,,
SC-07-04-05,(e) Review exceptions to the traffic flow policy [Assignment: organization-defined frequency] and remove exceptions that are no longer supported by an explicit mission or business need;,NFO, ,—,,
SC-07-04-06,(f) Prevent unauthorized exchange of control plane traffic with external networks;,NFO, ,—,,
SC-07-04-07,(g) Publish information to enable remote networks to detect unauthorized control plane traffic from internal networks; and,NFO, ,—,,
SC-07-04-08,(h) Filter unauthorized control plane traffic from external networks.,NFO, ,—,,
SC-07-05-00,SC-7(5)  Boundary Protection | Deny by Default — Allow by Exception,CUI,03-13-06:,3.13.6  Network Communications – Deny by Default – Allow by Exception,,
SC-07-05-01,Deny network communications traffic by default and allow network communications traffic by exception [Selection (one or more): at managed interfaces; for [Assignment: organization-defined systems],CUI,03-13-06.,"3.13.6. Deny network communications traffic by default, and allow network communications traffic by exception.","Removed ODP to select one or more ""at managed interfaces; for [Assignment: organization-defined systems""",
SC-07-07-00,SC-7(7)  Boundary Protection | Split Tunneling for Remote Devices,CUI,03-13-07:,3.13.7  Split Tunneling,,
SC-07-07-01,Prevent split tunneling for remote devices connecting to organizational systems unless the split tunnel is securely provisioned using [Assignment: organization-defined safeguards].,CUI,03-13-07.,3.13.7. Prevent split tunneling for remote devices unless the split tunnel is securely provisioned using [Assignment: organization-defined safeguards].,,
SC-07-08-00,SC-7(8)  Boundary Protection | Route Traffic to Authenticated Proxy Servers,CUI,03-13-17:,3.13.17  Internal Network Communications Traffic,,
SC-07-08-01,Route [Assignment: organization-defined internal communications traffic] to [Assignment: organization-defined external networks] through authenticated proxy servers at managed interfaces.,CUI,03-13-17.,3.13.17. Route internal network communications traffic to external networks through an authenticated proxy server.,,
SC-08-00-00,SC-8  Transmission Confidentiality and Integrity,CUI,03-13-08:,3.13.8  Transmission and Storage Confidentiality,Updated title to reflect merged controls,
SC-08-00-01,Protect the [Selection (one or more): confidentiality; integrity] of transmitted information.,CUI,03-13-08.,3.13.8. Implement cryptographic mechanisms to prevent the unauthorized disclosure of CUI during transmission and while in storage.,"Combined multiple control items  SC-8, SC-8(1), SC-28, SC-28(1)",
SC-08-01-00,SC-8(1)  Transmission Confidentiality and Integrity | Cryptographic Protection,CUI,03-13-08:,3.13.8  Transmission and Storage Confidentiality,Updated title to reflect merged controls,
SC-08-01-01,Implement cryptographic mechanisms to [Selection (one or more): prevent unauthorized disclosure of information; detect changes to information] during transmission.,CUI,03-13-08.,3.13.8. Implement cryptographic mechanisms to prevent the unauthorized disclosure of CUI during transmission and while in storage.,"Combined multiple control items  SC-8, SC-8(1), SC-28, SC-28(1)",
SC-10-00-00,SC-10  Network Disconnect,CUI,03-13-09:,3.13.9  Network Disconnect,,
SC-10-00-01,Terminate the network connection associated with a communications session at the end of the session or after [Assignment: organization-defined time period] of inactivity.,CUI,03-13-09.,3.13.9. Terminate network connections associated with communications sessions at the end of the sessions or after [Assignment: organization-defined time period] of inactivity.,,
SC-12-00-00,SC-12  Cryptographic Key Establishment and Management,CUI,03-13-10:,3.13.10  Cryptographic Key Establishment and Management,,
SC-12-00-01,"Establish and manage cryptographic keys when cryptography is employed within the system in accordance with the following key management requirements  [Assignment: organization-defined requirements for key generation, distribution, storage, access, and destruction].",CUI,03-13-10.,"3.13.10. Establish and manage cryptographic keys when cryptography is implemented in the system in accordance with the following key management requirements  [Assignment: organization-defined requirements for key generation, distribution, storage, access, and destruction].",,
SC-13-00-00,SC-13  Cryptographic Protection,CUI,03-13-11.,3.13.11. Cryptographic Protection,,
SC-13-00-01,a. Determine the [Assignment: organization-defined cryptographic uses]; and,NCO, ,—,,
SC-13-00-02,b. Implement the following types of cryptography required for each specified cryptographic use  [Assignment: organization-defined types of cryptography for each specified cryptographic use].,CUI,03-13-11.,3.13.11. Implement the following types of cryptography when used to protect the confidentiality of CUI  [Assignment: organization-defined types of cryptography].,"Modified OPD to remove ""for each specified cryptographic use""; no change in outcome",
SC-15-00-00,SC-15  Collaborative Computing Devices and Applications,CUI,03-13-12:,3.13.12  Collaborative Computing Devices and Applications,,
SC-15-00-01,a. Prohibit remote activation of collaborative computing devices and applications with the following exceptions  [Assignment: organization-defined exceptions where remote activation is to be allowed]; and,CUI,03-13-12a.,3.13.12a. Prohibit remote activation of collaborative computing devices and applications with the following exceptions  [Assignment: organization-defined exceptions where remote activation is to be allowed].,,
SC-15-00-02,b. Provide an explicit indication of use to users physically present at the devices.,CUI,03-13-12b.,3.13.12b. Provide an explicit indication of use to users physically present at the devices.,,
SC-17-00-00,SC-17  Public Key Infrastructure Certificates,FED, ,—,,
SC-17-00-01,a. Issue public key certificates under an [Assignment: organization-defined certificate policy] or obtain public key certificates from an approved service provider; and,FED, ,—,,
SC-17-00-02,b. Include only approved trust anchors in trust stores or certificate stores managed by the organization.,FED, ,—,,
SC-18-00-00,SC-18  Mobile Code,CUI,03-13-13:,3.13.13  Mobile Code,,
SC-18-00-01,a. Define acceptable and unacceptable mobile code and mobile code technologies; and,CUI,03-13-13a.,3.13.13a. Define acceptable and unacceptable mobile code and mobile code technologies.,,
SC-18-00-02,"b. Authorize, monitor, and control the use of mobile code within the system.",CUI,03-13-13b.,"3.13.13b. Authorize, control, and monitor the use of mobile code.","Rephrased, no change in outcome",
SC-20-00-00,SC-20  Secure Name/address Resolution Service (authoritative Source),NCO, ,—,,
SC-20-00-01,a. Provide additional data origin authentication and integrity verification artifacts along with the authoritative name resolution data the system returns in response to external name/address resolution queries; and,NCO, ,—,,
SC-20-00-02,"b. Provide the means to indicate the security status of child zones and (if the child supports secure resolution services) to enable verification of a chain of trust among parent and child domains, when operating as part of a distributed, hierarchical namespace.",NCO, ,—,,
SC-21-00-00,SC-21  Secure Name/address Resolution Service (recursive or Caching Resolver),NCO, ,—,,
SC-21-00-01,Request and perform data origin authentication and data integrity verification on the name/address resolution responses the system receives from authoritative sources.,NCO, ,—,,
SC-22-00-00,SC-22  Architecture and Provisioning for Name/address Resolution Service,NCO, ,—,,
SC-22-00-01,Ensure the systems that collectively provide name/address resolution service for an organization are fault-tolerant and implement internal and external role separation.,NCO, ,—,,
SC-23-00-00,SC-23  Session Authenticity,CUI,03-13-15:,3.13.15  Session Authenticity,,
SC-23-00-01,Protect the authenticity of communications sessions.,CUI,03-13-15.,3.13.15. Protect the authenticity of communications sessions.,,
SC-28-00-00,SC-28  Protection of Information at Rest,CUI,03-13-08:,3.13.8  Transmission and Storage Confidentiality,Updated title to reflect merged controls,
SC-28-00-01,Protect the [Selection (one or more): confidentiality; integrity] of the following information at rest  [Assignment: organization-defined information at rest].,CUI,03-13-08.,3.13.8. Implement cryptographic mechanisms to prevent the unauthorized disclosure of CUI during transmission and while in storage.,"Combined multiple control items  SC-8, SC-8(1), SC-28, SC-28(1)",
SC-28-01-00,SC-28(1)  Protection of Information at Rest | Cryptographic Protection,CUI,03-13-08:,3.13.8  Transmission and Storage Confidentiality,Updated title to reflect merged controls,
SC-28-01-01,Implement cryptographic mechanisms to prevent unauthorized disclosure and modification of the following information at rest on [Assignment: organization-defined system components or media]  [Assignment: organization-defined information].,CUI,03-13-08.,3.13.8. Implement cryptographic mechanisms to prevent the unauthorized disclosure of CUI during transmission and while in storage.,"Combined multiple control items  SC-8, SC-8(1), SC-28, SC-28(1)",
SC-39-00-00,SC-39  Process Isolation,NFO, ,—,,
SC-39-00-01,Maintain a separate execution domain for each executing system process.,NFO, ,—,,
SI-01-00-00,SI-1  Policy and Procedures,CUI,03-15-01:,3.15.1  Policy and Procedures,,
SI-01-00-01,"a. Develop, document, and disseminate to [Assignment: organization-defined personnel or roles]:",CUI,03-15-01a.,"3.15.1a. Develop, document, and disseminate to organizational personnel or roles, policies and procedures needed to implement security requirements.","Addresses all policy (instead of only system and information integrity policy)
Removed ODP to assign ""personnel or roles""",
SI-01-00-02,1. [Selection (one or more): organization-level; mission/business process-level; system-level] system and information integrity policy that:,CUI,03-15-01a.,"3.15.1a. Develop, document, and disseminate to organizational personnel or roles, policies and procedures needed to implement security requirements.","Removed ODP to select one or more ""organization-level; mission/business process-level; system level""",
SI-01-00-03,"(a) Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and",NCO, ,—,,
SI-01-00-04,"(b) Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and",NCO, ,—,,
SI-01-00-05,2. Procedures to facilitate the implementation of the system and information integrity policy and the associated system and information integrity controls;,CUI,03-15-01a.,"3.15.1a. Develop, document, and disseminate to organizational personnel or roles, policies and procedures needed to implement security requirements.",Addresses all procedures (instead of only system and information integrity procedures),
SI-01-00-06,"b. Designate an [Assignment: organization-defined official] to manage the development, documentation, and dissemination of the system and information integrity policy and procedures; and",NCO, ,—,,
SI-01-00-07,c. Review and update the current system and information integrity:,CUI,03-15-01b.,3.15.1b. Review and update policies and procedures [Assignment: organization-defined frequency].,Addresses update of all policy and procedures (instead of only system and information integrity),
SI-01-00-08,1. Policy [Assignment: organization-defined frequency] and following [Assignment: organization-defined events]; and,CUI,03-15-01b.,3.15.1b. Review and update policies and procedures [Assignment: organization-defined frequency].,"Removed ODP to assign ""events""",
SI-01-00-09,2. Procedures [Assignment: organization-defined frequency] and following [Assignment: organization-defined events].,CUI,03-15-01b.,3.15.1b. Review and update policies and procedures [Assignment: organization-defined frequency].,"Removed ODP to assign ""events""",
SI-02-00-00,SI-2  Flaw Remediation,CUI,03-14-01:,3.14.1  Flaw Remediation,,
SI-02-00-01,"a. Identify, report, and correct system flaws;",CUI,03-14-01a.,"3.14.1a. Identify, report, and correct system flaws.",,
SI-02-00-02,b. Test software and firmware updates related to flaw remediation for effectiveness and potential side effects before installation;,CUI,03-14-01b.,3.14.1b. Test software and firmware updates related to flaw remediation for effectiveness and potential side effects before installation.,,
SI-02-00-03,c. Install security-relevant software and firmware updates within [Assignment: organization-defined time period] of the release of the updates; and,CUI,03-14-01c.,3.14.1c. Install security-relevant software and firmware updates within [Assignment: organization-defined time period] of the release of the updates.,,
SI-02-00-04,d. Incorporate flaw remediation into the organizational configuration management process.,NCO, ,—,,
SI-02-02-00,SI-2(2)  Flaw Remediation | Automated Flaw Remediation Status,NCO, ,—,,
SI-02-02-01,Determine if system components have applicable security-relevant software and firmware updates installed using [Assignment: organization-defined automated mechanisms] [Assignment: organization-defined frequency].,NCO, ,—,,
SI-03-00-00,SI-3  Malicious Code Protection,CUI,03-14-02:,3.14.2  Malicious Code Protection,,
SI-03-00-01,a. Implement [Selection (one or more): signature based; non-signature based] malicious code protection mechanisms at system entry and exit points to detect and eradicate malicious code;,CUI,03-14-02a.,3.14.2a. Implement malicious code protection mechanisms at designated locations within the system to detect and eradicate malicious code.,"Removed ODP to select one or more ""signature based; non-signature based""
Replaced ""at system entry and exit points"" to ""within the system""",
SI-03-00-02,b. Automatically update malicious code protection mechanisms as new releases are available in accordance with organizational configuration management policy and procedures;,CUI,03-14-02b.,3.14.2b. Update malicious code protection mechanisms as new releases are available in accordance with organizational configuration management policy and procedures.,"Removed ""automatically""",
SI-03-00-03,c. Configure malicious code protection mechanisms to ,NCO, ,—,,
SI-03-00-04,"1. Perform periodic scans of the system [Assignment: organization-defined frequency] and real-time scans of files from external sources at [Selection (one or more): endpoint; network entry and exit points] as the files are downloaded, opened, or executed in accordance with organizational policy; and",NCO, ,—,,
SI-03-00-05,2. [Selection (one or more): block malicious code; quarantine malicious code; take [Assignment: organization-defined action]]; and send alert to [Assignment: organization-defined personnel or roles] in response to malicious code detection; and,NCO, ,—,,
SI-03-00-06,d. Address the receipt of false positives during malicious code detection and eradication and the resulting potential impact on the availability of the system.,NCO, ,—,,
SI-04-00-00,SI-4  System Monitoring,CUI,03-14-06:,3.14.6  System Monitoring,,
SI-04-00-01,a. Monitor the system to detect:,CUI,03-14-06a.,"3.14.6a. Monitor the system, including inbound and outbound communications traffic, to detect ",,
SI-04-00-02,1. Attacks and indicators of potential attacks in accordance with the following monitoring objectives  [Assignment: organization-defined monitoring objectives]; and,CUI,03-14-06a.1,3.14.6a.1. Attacks and indicators of potential attacks;,"Removed clause ""in accordance with the following monitoring objectives ""
Removed ODP to assign ""monitoring activities""",
SI-04-00-03,"2. Unauthorized local, network, and remote connections;",CUI,03-14-06a.3,3.14.6a.3. Unauthorized connections.,"Removed clause ""local, network, and remote""",
SI-04-00-04,b. Identify unauthorized use of the system through the following techniques and methods  [Assignment: organization-defined techniques and methods];,CUI,03-14-06b.,3.14.6b. Identify unauthorized use of the system.,"Removed clause ""through the following techniques and methods ""
Removed ODP to assign ""techniques and methods""",
SI-04-00-05,c. Invoke internal monitoring capabilities or deploy monitoring devices ,NCO, ,—,,
SI-04-00-06,1. Strategically within the system to collect organization-determined essential information; and,NCO, ,—,,
SI-04-00-07,2. At ad hoc locations within the system to track specific types of transactions of interest to the organization;,NCO, ,—,,
SI-04-00-08,d. Analyze detected events and anomalies;,NCO, ,—,,
SI-04-00-09,"e. Adjust the level of system monitoring activity when there is a change in risk to organizational operations and assets, individuals, other organizations, or the Nation;",NCO, ,—,,
SI-04-00-10,f. Obtain legal opinion regarding system monitoring activities; and,NCO, ,—,,
SI-04-00-11,g. Provide [Assignment: organization-defined system monitoring information] to [Assignment: organization-defined personnel or roles][Selection (one or more): as needed; [Assignment: organization-defined frequency]].,NCO, ,—,,
SI-04-02-00,SI-4(2)  System Monitoring | Automated Tools and Mechanisms for Real-time Analysis,NCO, ,—,,
SI-04-02-01,Employ automated tools and mechanisms to support near real-time analysis of events.,NCO, ,—,,
SI-04-04-00,SI-4(4)  System Monitoring | Inbound and Outbound Communications Traffic,CUI,03-14-06:,3.14.6  System Monitoring,,
SI-04-04-01,(a) Determine criteria for unusual or unauthorized activities or conditions for inbound and outbound communications traffic;,NCO, ,—,,
SI-04-04-02,(b) Monitor inbound and outbound communications traffic [Assignment: organization-defined frequency] for [Assignment: organization-defined unusual or unauthorized activities or conditions].,CUI,03-14-06a.2,3.14.6a.2. Unusual or unauthorized activities or conditions; and,"Removed ODP to assign ""frequency""
Removed ODP to assign ""unusual or unauthorized activities or conditions""",
SI-04-05-00,SI-4(5)  System Monitoring | System-generated Alerts,NCO, ,—,,
SI-04-05-01,Alert [Assignment: organization-defined personnel or roles] when the following system-generated indications of compromise or potential compromise occur  [Assignment: organization-defined compromise indicators].,NCO, ,—,,
SI-05-05-00,"SI-5  Security Alerts, Advisories, and Directives",CUI,03-14-03:,"3.14.3  Security Alerts, Advisories, and Directives",,
SI-05-05-01,"a. Receive system security alerts, advisories, and directives from [Assignment: organization-defined external organizations] on an ongoing basis;",CUI,03-14-03a.,"3.14.3a. Receive security alerts, advisories, and directives from external organizations.","Removed ODP to assign ""external organizations""
Removed clause ""on an ongoing basis""",
SI-05-05-02,"b. Generate internal security alerts, advisories, and directives as deemed necessary;",CUI,03-14-03b.,"3.14.3b. Generate internal security alerts, advisories, and directives, as necessary.",,
SI-05-05-03,"c. Disseminate security alerts, advisories, and directives to  [Selection (one or more): [Assignment: organization-defined personnel or roles]; [Assignment: organization-defined elements within the organization]; [Assignment: organization-defined external organizations]; and ",NCO, ,—,,
SI-05-05-04,"d. Implement security directives in accordance with established time frames, or notify the issuing organization of the degree of noncompliance.",NCO, ,—,,
SI-07-00-00,"SI-7  Software, Firmware, and Information Integrity",NCO, ,—,,
SI-07-00-01,"a. Employ integrity verification tools to detect unauthorized changes to the following software, firmware, and information  [Assignment: organization-defined software, firmware, and information]; and",NCO, ,—,,
SI-07-00-02,"b. Take the following actions when unauthorized changes to the software, firmware, and information are detected  [Assignment: organization-defined actions].",NCO, ,—,,
SI-07-01-00,"SI-7(1)  Software, Firmware, and Information Integrity | Integrity Checks",NCO, ,—,,
SI-07-01-01,"Perform an integrity check of [Assignment: organization-defined software, firmware, and information] [Selection (one or more): at startup; at [Assignment: organization-defined transitional states or security-relevant events]; [Assignment: organization-defined frequency]].",NCO, ,—,,
SI-07-07-00,"SI-7(7)  Software, Firmware, and Information Integrity | Integration of Detection and Response",NCO, ,—,,
SI-07-07-01,Incorporate the detection of the following unauthorized changes into the organizational incident response capability  [Assignment: organization-defined security-relevant changes to the system].,NCO, ,—,,
SI-08-00-00,SI-8  Spam Protection,CUI,03-14-08:,3.14.8  Spam Protection,,
SI-08-00-01,a. Employ spam protection mechanisms at system entry and exit points to detect and act on unsolicited messages; and,CUI,03-14-08a.,3.14.8a. Implement spam protection mechanisms at designated locations within the system to detect and act on unsolicited messages.,,
SI-08-00-02,b. Update spam protection mechanisms when new releases are available in accordance with organizational configuration management policy and procedures.,CUI,03-14-08b.,3.14.8b. Update spam protection mechanisms [Assignment: organization-defined frequency].,"Added ODP to assign ""frequency""",
SI-08-02-00,SI-8(2)  Spam Protection | Automatic Updates,NCO, ,—,,
SI-08-02-01,Automatically update spam protection mechanisms [Assignment: organization-defined frequency].,NCO, ,—,,
SI-10-00-00,SI-10  Information Input Validation,NCO, ,—,,
SI-10-00-01,Check the validity of the following information inputs  [Assignment: organization-defined information inputs to the system].,NCO, ,—,,
SI-11-00-00,SI-11  Error Handling,NCO, ,—,,
SI-11-01-01,a. Generate error messages that provide information necessary for corrective actions without revealing information that could be exploited; and,NCO, ,—,,
SI-11-01-02,b. Reveal error messages only to [Assignment: organization-defined personnel or roles].,NCO, ,—,,
SI-12-00-00,SI-12  Information Management and Retention,FED, ,—,,
SI-12-00-01,"Manage and retain information within the system and information output from the system in accordance with applicable laws, executive orders, directives, regulations, policies, standards, guidelines and operational requirements.",FED, ,—,,
SI-16-00-00,SI-16  Memory Protection,NCO, ,—,,
SI-16-00-01,Implement the following controls to protect the system memory from unauthorized code execution  [Assignment: organization-defined controls].,NCO, ,—,,
SR-01-00-00,SR-1  Policy and Procedures,CUI,03-15-01:,3.15.1  Policy and Procedures,,
